Entity,Year,Renewables per capita (kWh - equivalent)
Africa,1965,127.91771
Africa,1966,139.12254
Africa,1967,141.5766
Africa,1968,161.39375
Africa,1969,183.53688
Africa,1970,223.56758
Africa,1971,206.47203
Africa,1972,229.00676
Africa,1973,235.90248
Africa,1974,261.10275
Africa,1975,268.4201
Africa,1976,289.09085
Africa,1977,308.83777
Africa,1978,302.6684
Africa,1979,314.55762
Africa,1980,298.0381
Africa,1981,300.8455
Africa,1982,292.26404
Africa,1983,256.08322
Africa,1984,244.92314
Africa,1985,264.69916
Africa,1986,268.0142
Africa,1987,250.02135
Africa,1988,265.27042
Africa,1989,270.88193
Africa,1990,269.1465
Africa,1991,277.6371
Africa,1992,258.54077
Africa,1993,247.48167
Africa,1994,244.78401
Africa,1995,248.2899
Africa,1996,253.30066
Africa,1997,253.66914
Africa,1998,259.61603
Africa,1999,268.28467
Africa,2000,281.10306
Africa,2001,293.2505
Africa,2002,298.92673
Africa,2003,283.07382
Africa,2004,291.1984
Africa,2005,286.73642
Africa,2006,290.31552
Africa,2007,289.55646
Africa,2008,286.503
Africa,2009,285.99698
Africa,2010,300.92087
Africa,2011,301.23102
Africa,2012,294.43835
Africa,2013,303.13077
Africa,2014,317.21323
Africa,2015,316.1801
Africa,2016,311.66516
Africa,2017,324.20157
Africa,2018,339.4157
Africa,2019,353.0985
Africa,2020,368.0048
Africa,2021,378.59207
Africa,2022,379.27673
Africa,2023,390.02872
Algeria,1965,95.53111
Algeria,1966,83.2235
Algeria,1967,94.0028
Algeria,1968,126.20633
Algeria,1969,79.1247
Algeria,1970,124.31607
Algeria,1971,69.15576
Algeria,1972,101.36669
Algeria,1973,150.38446
Algeria,1974,96.981804
Algeria,1975,61.67956
Algeria,1976,69.71108
Algeria,1977,46.42354
Algeria,1978,41.92492
Algeria,1979,47.365265
Algeria,1980,40.55343
Algeria,1981,55.92673
Algeria,1982,70.81954
Algeria,1983,33.59872
Algeria,1984,62.474915
Algeria,1985,86.30655
Algeria,1986,32.306145
Algeria,1987,62.55964
Algeria,1988,22.321026
Algeria,1989,26.849836
Algeria,1990,15.643562
Algeria,1991,33.15225
Algeria,1992,21.999186
Algeria,1993,38.159126
Algeria,1994,17.570253
Algeria,1995,20.039974
Algeria,1996,13.772591
Algeria,1997,7.5238814
Algeria,1998,21.245111
Algeria,1999,19.78077
Algeria,2000,5.1886096
Algeria,2001,6.4968305
Algeria,2002,5.2608757
Algeria,2003,23.974781
Algeria,2004,22.248251
Algeria,2005,48.24676
Algeria,2006,18.518274
Algeria,2007,18.8043
Algeria,2008,23.004215
Algeria,2009,27.13679
Algeria,2010,14.096054
Algeria,2011,29.90281
Algeria,2012,30.592276
Algeria,2013,9.151515
Algeria,2014,17.753038
Algeria,2015,15.118675
Algeria,2016,22.301409
Algeria,2017,37.457855
Algeria,2018,46.06531
Algeria,2019,47.960022
Algeria,2020,44.86581
Algeria,2021,40.501717
Algeria,2022,39.539673
Algeria,2023,41.794765
Argentina,1965,164.26549
Argentina,1966,163.79047
Argentina,1967,165.11125
Argentina,1968,191.60696
Argentina,1969,169.22238
Argentina,1970,200.6452
Argentina,1971,196.51488
Argentina,1972,190.3889
Argentina,1973,361.89407
Argentina,1974,587.97815
Argentina,1975,601.5391
Argentina,1976,571.45184
Argentina,1977,645.98193
Argentina,1978,851.351
Argentina,1979,1153.4015
Argentina,1980,1608.8427
Argentina,1981,1534.8994
Argentina,1982,1811.2704
Argentina,1983,1870.7758
Argentina,1984,1982.6127
Argentina,1985,2029.0524
Argentina,1986,2035.2977
Argentina,1987,2086.509
Argentina,1988,1436.1788
Argentina,1989,1222.8326
Argentina,1990,1617.8336
Argentina,1991,1430.0657
Argentina,1992,1700.5907
Argentina,1993,2074.4868
Argentina,1994,2348.6665
Argentina,1995,2253.4985
Argentina,1996,1898.5623
Argentina,1997,2322.6155
Argentina,1998,2181.549
Argentina,1999,1751.8158
Argentina,2000,2315.3508
Argentina,2001,2902.0085
Argentina,2002,2806.8796
Argentina,2003,2640.2305
Argentina,2004,2347.1194
Argentina,2005,2587.7883
Argentina,2006,2829.6863
Argentina,2007,2303.9253
Argentina,2008,2275.4507
Argentina,2009,2472.1309
Argentina,2010,2505.6836
Argentina,2011,2389.6646
Argentina,2012,2289.2427
Argentina,2013,2532.9878
Argentina,2014,2525.8271
Argentina,2015,2510.5789
Argentina,2016,2311.6875
Argentina,2017,2470.724
Argentina,2018,2511.452
Argentina,2019,2468.6052
Argentina,2020,2377.5747
Argentina,2021,2399.5322
Argentina,2022,2756.9307
Argentina,2023,3141.6628
Asia,1965,222.3872
Asia,1966,226.44109
Asia,1967,206.75435
Asia,1968,224.33261
Asia,1969,227.21378
Asia,1970,227.32373
Asia,1971,242.87311
Asia,1972,245.58287
Asia,1973,223.31256
Asia,1974,248.8767
Asia,1975,262.73886
Asia,1976,264.90094
Asia,1977,255.56485
Asia,1978,264.37238
Asia,1979,281.43222
Asia,1980,297.12375
Asia,1981,312.4645
Asia,1982,313.3928
Asia,1983,322.9857
Asia,1984,319.09097
Asia,1985,368.46494
Asia,1986,364.79602
Asia,1987,370.05774
Asia,1988,415.4834
Asia,1989,418.10483
Asia,1990,426.9358
Asia,1991,424.1603
Asia,1992,420.34445
Asia,1993,457.68048
